caseid,title,desc,method,host,port,uri,params
TestCase_1,单点SSO-单点验证,,GET,47.112.120.135,9300,/hcp/sso/ssoCheck,action=string&token=string&tokenType=int32
TestCase_2,单点SSO-根据来源应用与token转换应用token返回,,GET,47.112.120.135,9300,/sso/cvtSoTk/,$from/$fromToken/$to
TestCase_3,单点SSO-检查Apptoken是否有效并返回一个根据传过来的source对应的token,,GET,47.112.120.135,9300,/sso/checkAPPTokenReturnLoginTypeToken/,$source/$token
TestCase_4,单点SSO-检查token是否有效-所有token验证是否失效使用这个接口,,GET,47.112.120.135,9300,/sso/checkToken/,$source/$token
TestCase_5,单点SSO-检查认证token是否有效-sso专用,,GET,47.112.120.135,9300,/sso/ssoTokenCheck/,$tokenType/$token
TestCase_6,"单点SSO-注销,退出",,GET,47.112.120.135,9300,/hcp/sso/logout,source=int32&token=string
TestCase_7,复制微信记录-保存复制微信记录,,POST,47.112.120.135,9300,/user/copyWechatRecord/save,"{""subjectId"": """", ""subjectType"": """", ""wechat"": """"}"
TestCase_8,学习小组-全部已上架的小组列表,,GET,47.112.120.135,9300,/user/studyGroup/lis,
TestCase_9,学习小组-小组详情,,GET,47.112.120.135,9300,/user/studyGroup/,$id
TestCase_10,学习小组-用户已加入的小组,,GET,47.112.120.135,9300,/user/studyGroup/myGrou,
TestCase_11,学习小组内容-保存内容,,POST,47.112.120.135,9300,/user/studyGroupContent/save,"{""content"": """", ""groupId"": """", ""imagesUrl"": """"}"
TestCase_12,学习小组内容-内容详情,,GET,47.112.120.135,9300,/user/studyGroupContent/,$id
TestCase_13,学习小组内容-分页查询内容,,POST,47.112.120.135,9300,/user/studyGroupContent/page,"{""curPage"": 1, ""groupId"": """", ""limit"": """"}"
TestCase_14,学习小组用户-加入或退出组,,GET,47.112.120.135,9300,/user/studyGroupUser/,$type/$groupId
TestCase_15,学习小组用户-获取已加入的组id,,GET,47.112.120.135,9300,/user/studyGroupUser/getJoi,
TestCase_16,录音点赞表-保存,,POST,47.112.120.135,9300,/user/oralPraise/saveV2,"{""createDate"": """", ""fluent"": """", ""grammar"": """", ""id"": """", ""isFake"": """", ""oralPracticeId"": """", ""oralPracticeUserId"": """", ""oralPraisesId"": """", ""pronounce"": """", ""source"": """", ""updateDate"": """", ""updateId"": """", ""updateName"": """", ""userId"": """", ""userName"": """", ""vocab"": """"}"
TestCase_17,我的优惠券-app用户领取优惠券,,GET,47.112.120.135,9300,/hcp/user/myCoupon/appReceiveCoupon,couponIds=string
TestCase_18,我的优惠券-分页查询,,GET,47.112.120.135,9300,/hcp/user/myCoupon/page,status=int32
TestCase_19,我的优惠券-手动添加用户优惠券,,POST,47.112.120.135,9300,/hcp/user/myCoupon/manuallyAddUserCoupon,couponId=int64&userId=string
TestCase_20,"我的优惠券-用户领取优惠券,true表示领取成功,false表示失败",,GET,47.112.120.135,9300,/hcp/user/myCoupon/receiveCoupon,couponId=int64&salespersonId=int64&source=int32&unionId=string
TestCase_21,我的优惠券-获取App优惠劵(只获取会员与口语点评类型优惠劵),,GET,47.112.120.135,9300,/hcp/user/myCoupon/appCoupon,status=int32
TestCase_22,我的优惠券-获取用户到期新人优惠券信息,,GET,47.112.120.135,9300,/user/myCoupon/getExpiredRegisterCoupo,
TestCase_23,我的优惠券-获取用户新人优惠券（返回优惠券弹框图片url）,,GET,47.112.120.135,9300,/hcp/user/myCoupon/getRegisterCoupon,deviceType=int32
TestCase_24,文件-上传图片,,POST,47.112.120.135,9300,/hcp/user/file/uploadImage,folderCode=int32
TestCase_25,文件-上传文件(返回url路径图片名称),,POST,47.112.120.135,9300,/hcp/user/file/upload,folderCode=int32
TestCase_26,文件-上传文件(返回全路径url),,POST,47.112.120.135,9300,/hcp/user/file/uploadFile,folderCode=int32
TestCase_27,文件-上传文件,,POST,47.112.120.135,9300,/hcp/user/file/uploadAudio,folderCode=int32
